"Facility Name","CMS Certification Number (CCN)","Alternate CCN","Address","City","State","Zip Code","Network","Measure Name","Achievement Measure Rate","Kt/V Comprehensive Measure Score","Kt/V Comprehensive Reason for No Score (See Footnotes File)","State Average Kt/V Comprehensive Measure Score","National Average Kt/V Comprehensive Measure Score"
"JESUP DIALYSIS","112532","-","301 PEACHTREE ST","JESUP","GA","31545","6","KT/V COMPREHENSIVE","  99.61%","10","-","6","7"
"BMA OF COVINTON INC","112533","-","7215 INDUSTRIAL BLVD","COVINGTON","GA","30014","6","KT/V COMPREHENSIVE","  97.21%","8","-","6","7"
"SANDERSVILLE DIALYSIS CLINIC, LLC","112534","-","614 S HARRIS STREET STE F","SANDERSVILLE","GA","31082","6","KT/V COMPREHENSIVE","  99.39%","10","-","6","7"
"DOUGLAS DIALYSIS","112535","-","190 WESTSIDE DRIVE SUITE A","DOUGLAS","GA","31533","6","KT/V COMPREHENSIVE","  97.75%","9","-","6","7"
"FMC THOMSON DIALYSIS","112540","-","1020 WEST HILL STREET","THOMSON","GA","30824","6","KT/V COMPREHENSIVE","  96.92%","8","-","6","7"
"FRESENIUS MEDICAL CARE TOCCOA","112541","-","929 FALLS ROAD","TOCCOA","GA","30577","6","KT/V COMPREHENSIVE","  96.55%","7","-","6","7"
"ELBERTON DIALYSIS FACILITY INC","112545","-","894 ELBERT STREET","ELBERTON","GA","30635","6","KT/V COMPREHENSIVE","  98.94%","10","-","6","7"
"LAURENS COUNTY DIALYSIS","112546","-","2400 BELLEVUE ROAD ERIN OFFICE PARK #8","DUBLIN","GA","31021","6","KT/V COMPREHENSIVE","  96.71%","7","-","6","7"
"FMC NORTHERN GEORGIA INC","112551","-","411 HOSPITAL ROAD","CANTON","GA","30114","6","KT/V COMPREHENSIVE","  99.76%","10","-","6","7"
"EASTLAKE DIALYSIS","112553","-","1757 CANDLER ROAD SE","DECATUR","GA","30032","6","KT/V COMPREHENSIVE","  96.47%","7","-","6","7"
"DIALYSIS CLINIC, INC. - BLAKELY","112554","-","11135 COLUMBIA STREET","BLAKELY","GA","39823","6","KT/V COMPREHENSIVE","  98.55%","9","-","6","7"
"HINESVILLE DIALYSIS","112555","-","522 EG MILES PARKWAY","HINESVILLE","GA","31313","6","KT/V COMPREHENSIVE","  96.68%","7","-","6","7"
"THOMASTON DIALYSIS","112557","-","1065 HWY 19 NORTH","THOMASTON","GA","30286","6","KT/V COMPREHENSIVE","  97.13%","8","-","6","7"
"ST MARYS DIALYSIS","112558","-","2714 OSBORNE RD","SAINT MARYS","GA","31558","6","KT/V COMPREHENSIVE","  98.75%","10","-","6","7"
"DAVITA FORT VALLEY","112559","-","557 BLUEBIRD BLVD","FORT VALLEY","GA","31030","6","KT/V COMPREHENSIVE","  99.36%","10","-","6","7"
"ATLANTA DIALYSIS","112561","-","567 NORTH AVE NE STE 200","ATLANTA","GA","30308","6","KT/V COMPREHENSIVE","  94.16%","4","-","6","7"
"FORD FACTORY SQUARE DIALYSIS","112562","-","567 NORTH AVE NE SUITE 100","ATLANTA","GA","30308","6","KT/V COMPREHENSIVE","  92.77%","3","-","6","7"
"FMC TUCKER","112563","-","4845 LAVISTA ROAD","TUCKER","GA","30084","6","KT/V COMPREHENSIVE","  96.61%","7","-","6","7"
"LINDEN DIALYSIS","112566","-","121 LINDEN AVENUE NE","ATLANTA","GA","30308","6","KT/V COMPREHENSIVE","  90.23%","1","-","6","7"
"SOUTH FULTON DIALYSIS","112568","-","2685 METROPOLITAN PARKWAY SW SUITE F","ATLANTA","GA","30315","6","KT/V COMPREHENSIVE","  97.53%","8","-","6","7"
"NEPHRON CORPORATION","112569","-","605 OLD NORCROSS ROAD","LAWRENCEVILLE","GA","30045","6","KT/V COMPREHENSIVE","  67.68%","0","-","6","7"
"DAVITA INC MILLEDGEVILLE","112571","-","400 SOUTH WAYNE STREET","MILLEDGEVILLE","GA","31061","6","KT/V COMPREHENSIVE","  96.54%","7","-","6","7"
"ISD RENAL, INC.","112572","-","4880 LOWER ROSWELL RD SUITE 770","MARIETTA","GA","30068","6","KT/V COMPREHENSIVE","  98.09%","9","-","6","7"
"COLUMBUS DIALYSIS","112573","-","6228 BRADLEY PARK DRIVE SUITE B","COLUMBUS","GA","31904","6","KT/V COMPREHENSIVE","  95.59%","6","-","6","7"
"DCI FORT OGLETHORPE","112574","-","201 THOMAS ROAD","FORT OGLETHORPE","GA","30742","6","KT/V COMPREHENSIVE","  97.48%","8","-","6","7"
"DCI DAWSON","112576","-","806 FORREST DRIVE","DAWSON","GA","39842","6","KT/V COMPREHENSIVE","  89.04%","0","-","6","7"
"BUCKHEAD DIALYSIS","112578","-","1575 NORTHSIDE DRIVE NE SUITE 365","ATLANTA","GA","30318","6","KT/V COMPREHENSIVE","  96.49%","7","-","6","7"
"WYLDS ROAD DIALYSIS","112579","-","1815 WYLDS ROAD","AUGUSTA","GA","30909","6","KT/V COMPREHENSIVE","  88.03%","1","-","6","7"
"COBB DIALYSIS","112581","-","3865 MEDICAL PARK DRIVE","AUSTELL","GA","30106","6","KT/V COMPREHENSIVE","  95.75%","6","-","6","7"
"DAVITA DIALYSIS OF MIDDLE GEORGIA INC.","112583","-","747 SECOND STREET","MACON","GA","31201","6","KT/V COMPREHENSIVE","  94.27%","4","-","6","7"
"FRESENIUS MEDICAL CARE WARNER ROBINS, LLC","112585","-","703 NORTH HOUSTON ROAD","WARNER ROBINS","GA","31093","6","KT/V COMPREHENSIVE","  98.27%","9","-","6","7"
"DCI EAST ALBANY","112587","-","1314 RADIUM SPRINGS RD","ALBANY","GA","31705","6","KT/V COMPREHENSIVE","  84.82%","0","-","6","7"
"WAYNESBORO DIALYSIS","112588","-","163 S. LIBERTY ST","WAYNESBORO","GA","30830","6","KT/V COMPREHENSIVE","  98.79%","10","-","6","7"
"FRESENIUS MEDICAL CARE PERIMETER","112590","-","5825 GLENRIDGE DRIVE BLDG 3 SUITE 150","ATLANTA","GA","30328","6","KT/V COMPREHENSIVE","  90.74%","2","-","6","7"
"FMCNA CARTERSVILLE","112591","-","14 ROVING ROAD SE","CARTERSVILLE","GA","30121","6","KT/V COMPREHENSIVE","  99.68%","10","-","6","7"
"PAULDING DIALYSIS","112594","-","4019 JOHNS ROAD","DALLAS","GA","30132","6","KT/V COMPREHENSIVE","  97.24%","8","-","6","7"
"FMC LAWRENCEVILLE","112595","-","595 HURRICANE SHOALS RD NW SUITE 202","LAWRENCEVILLE","GA","30046","6","KT/V COMPREHENSIVE","  92.47%","2","-","6","7"
"SOUTHERN LANE DIALYSIS","112596","-","1840 SOUTHERN LANE","DECATUR","GA","30033","6","KT/V COMPREHENSIVE","  94.97%","5","-","6","7"
"FRESENIUS MEDICAL CARE HONEYCREEK DIALYSIS, LLC","112599","-","1285 WELLBROOK CIRCLE","CONYERS","GA","30012","6","KT/V COMPREHENSIVE","  92.95%","3","-","6","7"
"DCI NORTH COLUMBUS","112600","-","2424 B WARM SPRINGS ROAD","COLUMBUS","GA","31904","6","KT/V COMPREHENSIVE","  91.90%","1","-","6","7"
"RCG THOMASVILLE","112601","-","300 W JACKSON STREET","THOMASVILLE","GA","31792","6","KT/V COMPREHENSIVE","  97.15%","8","-","6","7"
"EAST MACON DIALYSIS CENTER","112602","-","165 EMERY HIGHWAY SUITE 101","MACON","GA","31217","6","KT/V COMPREHENSIVE","  95.92%","6","-","6","7"
"MOULTRIE DIALYSIS CENTER","112603","-","2419 S MAIN STREET","MOULTRIE","GA","31768","6","KT/V COMPREHENSIVE","  98.73%","10","-","6","7"
"SOUTH BRUNSWICK DIALYSIS","112608","-","2930 SPRINGDALE ROAD","BRUNSWICK","GA","31520","6","KT/V COMPREHENSIVE","  97.27%","8","-","6","7"
"NEPHROLOGY CENTERS OF AMERICA GROVETOWN","112609","-","444 PARK 20 WEST DRIVE","GROVETOWN","GA","30813","6","KT/V COMPREHENSIVE","  94.19%","4","-","6","7"
"DCI LAFAYETTE","112610","-","614 PATTERSON ROAD","LA FAYETTE","GA","30728","6","KT/V COMPREHENSIVE","  92.25%","2","-","6","7"
"EAST ATLANTA DIALYSIS","112611","-","1308 MORELAND AVENUE","ATLANTA","GA","30316","6","KT/V COMPREHENSIVE","No Rate","No Score","1","6","7"
"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC","112612","-","855 CURTIS PKWY SE","CALHOUN","GA","30701","6","KT/V COMPREHENSIVE","  75.98%","0","-","6","7"
"FRESENIUS MEDICAL CARE HEPHZIBAH","112613","-","3801 WOODLAKE DRIVE","HEPHZIBAH","GA","30815","6","KT/V COMPREHENSIVE","  96.21%","7","-","6","7"
"DCI DEKALB","112615","-","558 MEDLOCK ROAD","DECATUR","GA","30030","6","KT/V COMPREHENSIVE","  93.65%","4","-","6","7"
"NORTH FULTON DIALYSIS","112617","-","1250 NORTH MEADOW PKWY SUITE 120","ROSWELL","GA","30076","6","KT/V COMPREHENSIVE","  97.23%","8","-","6","7"
"DIALYSIS AMERICA INC ALPHARETTA DIALYSIS CENTER","112619","-","1260 UPPER HEMBREE ROAD SUITE A","ROSWELL","GA","30076","6","KT/V COMPREHENSIVE","  97.68%","8","-","6","7"
"DIALYSIS CENTER OF MIDDLE GEORGIA","112620","-","509 NORTH HOUSTON RD","WARNER ROBINS","GA","31093","6","KT/V COMPREHENSIVE","  96.76%","7","-","6","7"
"FRESENIUS MEDICAL CARE HALL COUNTY","112621","-","1492 JESSE JEWELL PKWY SE","GAINESVILLE","GA","30501","6","KT/V COMPREHENSIVE","  94.32%","4","-","6","7"
"RCG LAWRENCEVILLE","112622","-","350 PHILIP BLVD NW","LAWRENCEVILLE","GA","30045","6","KT/V COMPREHENSIVE","  96.58%","7","-","6","7"
"CANDLER COUNTY DIALYSIS","112624","-","325 CEDAR ROAD","METTER","GA","30439","6","KT/V COMPREHENSIVE","  99.71%","10","-","6","7"
"FMC OF SNELLVILLE INC","112627","-","2096 MCGEE ROAD","SNELLVILLE","GA","30078","6","KT/V COMPREHENSIVE","  94.20%","4","-","6","7"
"RCG BAINBRIDGE","112628","-","703 E SHOTWELL STREET","BAINBRIDGE","GA","39819","6","KT/V COMPREHENSIVE","  98.12%","9","-","6","7"
"DCI SYLVESTER","112630","-","102 PINEVIEW DRIVE","SYLVESTER","GA","31791","6","KT/V COMPREHENSIVE","  90.54%","0","-","6","7"
"ABERCORN DIALYSIS","112631","-","11706 MERCY BLVD BLDG 9","SAVANNAH","GA","31419","6","KT/V COMPREHENSIVE","  92.05%","2","-","6","7"
"NEPHRON CORPORATION","112632","-","301 NORTH BROAD STREE","WINDER","GA","30680","6","KT/V COMPREHENSIVE","  95.22%","5","-","6","7"
"DECATUR DIALYSIS CENTER","112633","-","1987 CANDLER RD","DECATUR","GA","30032","6","KT/V COMPREHENSIVE","  92.74%","2","-","6","7"
"FRESENIUS MEDICAL CARE GAINESVILLE","112634","-","1856 THOMPSON BRIDGE ROAD SUITE 101","GAINESVILLE","GA","30501","6","KT/V COMPREHENSIVE","  97.75%","9","-","6","7"
"WILLIAMS STREET DIALYSIS","112636","-","2812 WILLIAMS ST","SAVANNAH","GA","31404","6","KT/V COMPREHENSIVE","  98.00%","9","-","6","7"
"DCI FAYETTEVILLE","112637","-","155 BRANDYWINE BOULEVARD","FAYETTEVILLE","GA","30214","6","KT/V COMPREHENSIVE","  91.89%","1","-","6","7"
"BAXLEY DIALYSIS","112638","-","539 FAIR STREET","BAXLEY","GA","31513","6","KT/V COMPREHENSIVE","  97.71%","8","-","6","7"
"DERENNE DIALYSIS","112639","-","5303 MONTGOMERY ST","SAVANNAH","GA","31405","6","KT/V COMPREHENSIVE","  94.28%","5","-","6","7"
"GREENSBORO DAVITA DIALYSIS CENTER","112640","-","1220 SILOAM ROAD","GREENSBORO","GA","30642","6","KT/V COMPREHENSIVE","  98.63%","10","-","6","7"
"FRESENIUS MEDICAL CARE CLARKE COUNTY","112641","-","5105 JEFFERSON RD SUITE B","ATHENS","GA","30607","6","KT/V COMPREHENSIVE","  96.88%","7","-","6","7"
"ATLANTA WEST DIALYSIS","112643","-","2538 MARTIN LUTHER KING JR DRIVE SW","ATLANTA","GA","30311","6","KT/V COMPREHENSIVE","  98.60%","10","-","6","7"
"FRESENIUS MEDICAL CARE CLAYTON COUNTY","112645","-","181 UPPER RIVERDALE RD","RIVERDALE","GA","30274","6","KT/V COMPREHENSIVE","  93.24%","3","-","6","7"
"SNAPFINGER DIALYSIS","112646","-","5255 SNAPFINGER PARK DRIVE SUITE 115","DECATUR","GA","30035","6","KT/V COMPREHENSIVE","  90.57%","2","-","6","7"
"DSI SAVANNAH DRAYTON DIALYSIS","112648","-","1020 DRAYTON STREET","SAVANNAH","GA","31401","6","KT/V COMPREHENSIVE","  98.83%","10","-","6","7"
"NEPHROLOGY CENTERS OF AMERICA LOUISVILLE","112649","-","817 PEACHTREE STREET","LOUISVILLE","GA","30434","6","KT/V COMPREHENSIVE","  94.79%","5","-","6","7"
"MCDONOUGH DIALYSIS FACILITY","112651","-","114 DUNN STREET","MCDONOUGH","GA","30253","6","KT/V COMPREHENSIVE","  93.32%","3","-","6","7"
"EAST POINT DIALYSIS","112655","-","2669 CHURCH STREET","EAST POINT","GA","30344","6","KT/V COMPREHENSIVE","  98.95%","10","-","6","7"
"SOUTH FULTON DIALYSIS CENTER","112656","-","3268 GREENBRIAR PKWY, SW","ATLANTA","GA","30331","6","KT/V COMPREHENSIVE","  92.99%","3","-","6","7"
"FAYETTEVILLE DIALYSIS","112657","-","1279 HWY 54 WEST #110","FAYETTEVILLE","GA","30214","6","KT/V COMPREHENSIVE","  96.69%","7","-","6","7"
"FMC DIALYSIS CENTER SNAPFINGER","112658","-","5250 SNAPFINGER PARK DRIVE","DECATUR","GA","30035","6","KT/V COMPREHENSIVE","  94.93%","5","-","6","7"
"FRESENIUS MEDICAL CARE HENRY COUNTY","112659","-","1365 ROCK QUARRY ROAD, ST 100","STOCKBRIDGE","GA","30281","6","KT/V COMPREHENSIVE","  96.90%","8","-","6","7"
"CENTENNIAL ATLANTA DIALYSIS","112660","-","418 DECATUR STREET","ATLANTA","GA","30312","6","KT/V COMPREHENSIVE","  94.01%","4","-","6","7"
"EFFINGHAM NORTH DIALYSIS","112661","-","1451 A GA HWY 21 SOUTH","SPRINGFIELD","GA","31329","6","KT/V COMPREHENSIVE","  99.00%","10","-","6","7"
"SWAINSBORO DIALYSIS CLINIC, LLC","112664","-","3 MEDICAL CENTER DRIVE","SWAINSBORO","GA","30401","6","KT/V COMPREHENSIVE","  98.95%","10","-","6","7"
"US RENAL CARE FORSYTH","112667","-","91 MARTIN LUTHER KING JR. DRIVE","FORSYTH","GA","31029","6","KT/V COMPREHENSIVE","  99.77%","10","-","6","7"
"FMC DIALYSIS SERVICES SOUTH COBB","112668","-","1886 STALLION PARKWAY","AUSTELL","GA","30106","6","KT/V COMPREHENSIVE","  90.46%","0","-","6","7"
"SOUTH AUGUSTA DIALYSIS CLINIC, LLC","112669","-","3206 PEACH ORCHARD ROAD","AUGUSTA","GA","30906","6","KT/V COMPREHENSIVE","  94.01%","4","-","6","7"
"NEPHROLOGY CENTER OF SOUTH AUGUSTA","112671","-","1631 GORDON HWY STORE 1B","AUGUSTA","GA","30906","6","KT/V COMPREHENSIVE","  94.17%","4","-","6","7"
"FMC ATLANTA-DOWNTOWN","112672","-","231 NW 14TH ST NW","ATLANTA","GA","30318","6","KT/V COMPREHENSIVE","  96.86%","7","-","6","7"
"ATHENS KIDNEY CENTER","112674","-","1440 NORTH CHASE STREET","ATHENS","GA","30601","6","KT/V COMPREHENSIVE","  89.87%","0","-","6","7"
"US RENAL CARE COBB RENAL CENTER","112675","-","506 ROSWELL STREET SUITE 100","MARIETTA","GA","30060","6","KT/V COMPREHENSIVE","  92.63%","2","-","6","7"
"FMC MUSCOGEE COUNTY","112676","-","1851 MANCHESTER EXPRESSWAY","COLUMBUS","GA","31904","6","KT/V COMPREHENSIVE","  91.60%","1","-","6","7"
"DCI ATLANTA HOME DIALYSIS","112677","-","120 PIEDMONT AVENUE STE 300","ATLANTA","GA","30303","6","KT/V COMPREHENSIVE","  89.97%","4","-","6","7"
"FMC CLAXTON DIALYSIS CENTER","112679","-","312 NORTH RIVER STREET","CLAXTON","GA","30417","6","KT/V COMPREHENSIVE","  96.48%","7","-","6","7"
"UNION COUNTY DIALYSIS","112680","-","72 APPALACHIAN AVENUE","BLAIRSVILLE","GA","30512","6","KT/V COMPREHENSIVE","  95.06%","5","-","6","7"
"CUMMING DIALYSIS","112681","-","911 MARKET PLACE BLVD SUITE 3","CUMMING","GA","30041","6","KT/V COMPREHENSIVE","  95.73%","7","-","6","7"
"PERRY DIALYSIS CENTER","112683","-","D/B/A PERRY DIALYSIS CENTER 1027 KEITH DR","PERRY","GA","31069","6","KT/V COMPREHENSIVE","  99.39%","10","-","6","7"
"US RENAL CARE MURRAY COUNTY DIALYSIS","112685","-","108 HOSPITAL DRIVE","CHATSWORTH","GA","30705","6","KT/V COMPREHENSIVE","  96.48%","7","-","6","7"
"US RENAL CARE OF SOUTH GEORGIA","112688","-","3564 NORTH CROSSING CIRCLE","VALDOSTA","GA","31602","6","KT/V COMPREHENSIVE","  93.11%","3","-","6","7"
"DAVITA NEWNAN DIALYSIS","112689","-","242 BULLSBORO DR","NEWNAN","GA","30263","6","KT/V COMPREHENSIVE","  93.06%","3","-","6","7"
"DSI CARTERSVILLE RENAL CENTER","112691","-","419 E. MAIN STREET","CARTERSVILLE","GA","30120","6","KT/V COMPREHENSIVE","  96.78%","7","-","6","7"
"FOREST PARK DIALYSIS CENTER","112692","-","380 FOREST PARKWAY","FOREST PARK","GA","30297","6","KT/V COMPREHENSIVE","  92.41%","2","-","6","7"
"GAINESVILLE DIALYSIS","112693","-","2545 FLINTRIDGE ROAD STE 130","GAINESVILLE","GA","30501","6","KT/V COMPREHENSIVE","  97.33%","8","-","6","7"
"FMC DOUGLAS COUNTY","112694","-","4645 TIMBER RIDGE ROAD BLDG 200 SUITE 140","DOUGLASVILLE","GA","30135","6","KT/V COMPREHENSIVE","  92.56%","2","-","6","7"
"COMPREHENSIVE RENAL CARE OF NORTHLAKE LLC","112695","-","1350 MONTREAL ROAD SUITE 200","TUCKER","GA","30084","6","KT/V COMPREHENSIVE","  95.45%","6","-","6","7"
"SPALDING COUNTY DIALYSIS","112696","-","1570 WILLIAMSON ROAD","GRIFFIN","GA","30224","6","KT/V COMPREHENSIVE","  93.31%","3","-","6","7"
"US RENAL CARE OF CENTRAL VALDOSTA","112699","-","506 NORTH PATTERSON STREET","VALDOSTA","GA","31601","6","KT/V COMPREHENSIVE","  95.62%","6","-","6","7"
"DSI WOODSTOCK RENAL CENTER","112700","-","2001 PROFESSIONAL PARKWAY SUITE 100","WOODSTOCK","GA","30188","6","KT/V COMPREHENSIVE","  98.26%","9","-","6","7"
"TRINITY DIALYSIS CLINIC","112702","-","1354 CLEVELAND AVENUE","EAST POINT","GA","30344","6","KT/V COMPREHENSIVE","  90.11%","0","-","6","7"
"DCI ALBANY WEST TOWN","112704","-","1921 W OAKRIDGE DR","ALBANY","GA","31707","6","KT/V COMPREHENSIVE","  92.75%","7","-","6","7"
"FRESENIUS MEDICAL CARE STONE MOUNTAIN","112705","-","5723 MEMORIAL DR","STONE MOUNTAIN","GA","30083","6","KT/V COMPREHENSIVE","  95.88%","6","-","6","7"
"SWEETWATER DIALYSIS","112706","-","7117 S SWEETWATER ROAD","LITHIA SPRINGS","GA","30122","6","KT/V COMPREHENSIVE","  98.41%","9","-","6","7"
"US RENAL CARE HAWKINSVILLE","112707","-","292 INDUSTRIAL BLD STE 100","HAWKINSVILLE","GA","31036","6","KT/V COMPREHENSIVE","  93.07%","3","-","6","7"
"US RENAL CARE COVINGTON DIALYSIS","112708","-","4179 BAKER ST","COVINGTON","GA","30014","6","KT/V COMPREHENSIVE","  97.73%","9","-","6","7"
"DAVITA ELLIJAY DIALYSIS","112709","-","449 INDUSTRIAL BLVD #240","ELLIJAY","GA","30540","6","KT/V COMPREHENSIVE","  97.37%","8","-","6","7"
"EAST GEORGIA REGIONAL DIALYSIS CENTER","112710","-","1989 STAMBUK LANE SUITE A","STATESBORO","GA","30458","6","KT/V COMPREHENSIVE","  96.75%","7","-","6","7"
"IRIS CITY DIALYSIS","112711","-","521 NORTH EXPRESSWAY SUITE 1509","GRIFFIN","GA","30223","6","KT/V COMPREHENSIVE","  94.52%","5","-","6","7"
"FRESENIUS MEDICAL CARE HONEYCREEK DIALYSIS, LLC","112712","-","11415 BROWN BRIDGE ROAD","COVINGTON","GA","30016","6","KT/V COMPREHENSIVE","  98.53%","9","-","6","7"
"ARA SOUTH AUGUSTA CLINIC","112714","-","1649 GORDON HIGHWAY","AUGUSTA","GA","30906","6","KT/V COMPREHENSIVE","  98.78%","10","-","6","7"
"EAST DEKALB DIALYSIS","112715","-","2853 CANDLER ROAD, SUITE 203","DECATUR","GA","30034","6","KT/V COMPREHENSIVE","  92.65%","2","-","6","7"
"FMC WEST CHATHAM DIALYSIS CENTER","112716","-","113 MINUS AVENUE","GARDEN CITY","GA","31408","6","KT/V COMPREHENSIVE","  93.27%","3","-","6","7"
"FMC DIALYSIS SERVICES OF WALTON","112718","-","299 PLAZA DRIVE","MONROE","GA","30655","6","KT/V COMPREHENSIVE","  95.56%","6","-","6","7"
"US RENAL CARE,INC","112719","-","611 COOK STREET","ROYSTON","GA","30662","6","KT/V COMPREHENSIVE","  97.99%","9","-","6","7"
"FMC NEW BAILIE","112720","-","1717 WALTON WAY","AUGUSTA","GA","30904","6","KT/V COMPREHENSIVE","  94.58%","5","-","6","7"
"FMC DIALYSIS SERVICES WOODSTOCK","112721","-","110 LONDONDERRY COURT SUITE 100","WOODSTOCK","GA","30188","6","KT/V COMPREHENSIVE","  96.93%","8","-","6","7"
"ARA AUGUSTA LLC","112722","-","1000 TELFAIR ST","AUGUSTA","GA","30901","6","KT/V COMPREHENSIVE","  97.20%","8","-","6","7"
"VIDALIA FIRST STREET DIALYSIS","112723","-","906 E FIRST STREET","VIDALIA","GA","30474","6","KT/V COMPREHENSIVE","  98.02%","9","-","6","7"
"MONTEZUMA DIALYSIS","112724","-","114 DEVAUGHN AVENUE","MONTEZUMA","GA","31063","6","KT/V COMPREHENSIVE","  98.32%","9","-","6","7"
"WRIGHTSVILLE DIALYSIS","112725","-","2240 WEST ELM STREET","WRIGHTSVILLE","GA","31096","6","KT/V COMPREHENSIVE","  98.76%","10","-","6","7"
"DSI MONTICELLO DIALYSIS","112726","-","1393 FUNDERBURG DRIVE","MONTICELLO","GA","31064","6","KT/V COMPREHENSIVE","  94.08%","4","-","6","7"
"LORING HEIGHTS DIALYSIS","112727","-","1741 COMMERCE DR. NW","ATLANTA","GA","30318","6","KT/V COMPREHENSIVE","  97.49%","8","-","6","7"
"FMC DIALYSIS SERVICES ELLIJAY","112728","-","941 PROGRESS ROAD BOX 1","ELLIJAY","GA","30540","6","KT/V COMPREHENSIVE","  95.89%","6","-","6","7"
"BAKERS FERRY DIALYSIS","112729","-","3645 BAKERS FERRY ROAD","ATLANTA","GA","30331","6","KT/V COMPREHENSIVE","  94.78%","5","-","6","7"
"NEWNAN DIALYSIS UNIT","112730","-","101 WERZ INDUSTRIAL DRIVE","NEWNAN","GA","30263","6","KT/V COMPREHENSIVE","  95.31%","6","-","6","7"
"FORT VALLEY DIALYSIS CENTER, LLC","112732","-","135 AVERA DRIVE","FORT VALLEY","GA","31030","6","KT/V COMPREHENSIVE","  92.89%","3","-","6","7"
"US RENAL CARE ADEL DIALYSIS","112733","-","701 NORTH HUTCHINSON AVE","ADEL","GA","31620","6","KT/V COMPREHENSIVE","  97.95%","9","-","6","7"
"FMCNA DIALYSIS SERVICES OF CHATTAHOOCHEE VALLEY","112734","-","2042 WYNNTON ROAD","COLUMBUS","GA","31906","6","KT/V COMPREHENSIVE","  87.81%","0","-","6","7"
"EISENHOWER PARKWAY DIALYSIS","112735","-","2525 SECOND STREET","MACON","GA","31206","6","KT/V COMPREHENSIVE","  97.63%","8","-","6","7"
"FRESENIUS MEDICAL CARE HIGHLANDS","112737","-","2700 HIGHLANDS PARKWAY STE A","SMYRNA","GA","30082","6","KT/V COMPREHENSIVE","  95.77%","6","-","6","7"
"FMCNA OF NORTH COBB","112738","-","1392 BELLS FERRY ROAD","MARIETTA","GA","30066","6","KT/V COMPREHENSIVE","  96.14%","7","-","6","7"
"DAVITA GROVEPARK DIALYSIS CENTER","112741","-","794 MCDONOUGH ROAD SUITE 103","JACKSON","GA","30233","6","KT/V COMPREHENSIVE","  95.45%","6","-","6","7"
"WEST GEORGIA DIALYSIS","112742","-","1216 STARK AVENUE","COLUMBUS","GA","31906","6","KT/V COMPREHENSIVE","  94.42%","5","-","6","7"
"FRESENIUS MEDICAL CARE LAKE LANIER","112743","-","2565 THOMPSON BRIDGE ROAD","GAINESVILLE","GA","30501","6","KT/V COMPREHENSIVE","  95.88%","6","-","6","7"
"DIALYSIS FACILITY OF ALMA INC","112744","-","415 SOUTH DIXON STREET","ALMA","GA","31510","6","KT/V COMPREHENSIVE","  85.07%","0","-","6","7"
"LAKE HEARN DIALYSIS","112745","-","1150 LAKE HEARN DRIVE SUITE 100","ATLANTA","GA","30342","6","KT/V COMPREHENSIVE","  96.48%","7","-","6","7"
"DIALYSIS OF LITHONIA","112746","-","2485 PARK CENTRAL BLVD","DECATUR","GA","30035","6","KT/V COMPREHENSIVE","  97.99%","9","-","6","7"
"COMMUNITY DIALYSIS CENTER OF COLUMBUS LLC","112748","-","1120 13TH STREET","COLUMBUS","GA","31901","6","KT/V COMPREHENSIVE"," 100.00%","10","-","6","7"
"FRESENIUS MEDICAL CARE CARROL COUNTY","112749","-","157 CLINIC AVENUE SUITE 102","CARROLLTON","GA","30117","6","KT/V COMPREHENSIVE","  97.69%","8","-","6","7"
"FRESENIUS MEDICAL CARE COLLEGE PARK","112750","-","2545 SULLIVAN ROAD","COLLEGE PARK","GA","30337","6","KT/V COMPREHENSIVE","  95.35%","6","-","6","7"
"FRESENIUS MEDICAL CARE BREMEN","112751","-","108 REDDING DRIVE","BREMEN","GA","30110","6","KT/V COMPREHENSIVE","  91.22%","1","-","6","7"
"BIO-MEDICAL APPLICATIONS OF GEORGIA, INC","112752","-","172 THREE RIVERS DRIVE NE","ROME","GA","30161","6","KT/V COMPREHENSIVE","  87.06%","0","-","6","7"
"STOCKBRIDGE DIALYSIS CLINIC,LLC","112753","-","3580 CAMERON PARKWAY","STOCKBRIDGE","GA","30281","6","KT/V COMPREHENSIVE","  80.60%","0","-","6","7"
"DSI MACON HEMLOCK DIALYSIS","112754","-","657 HEMLOCK ST STE 100","MACON","GA","31201","6","KT/V COMPREHENSIVE","  94.33%","4","-","6","7"
"FRESENIUS MEDICAL CARE LOGANVILLE, LLC","112755","-","3431 HWY 81 S","LOGANVILLE","GA","30052","6","KT/V COMPREHENSIVE","  96.76%","7","-","6","7"
"SUGARLOAF DIALYSIS","112758","-","1705 BELLE MEADE CT STE 110","LAWRENCEVILLE","GA","30043","6","KT/V COMPREHENSIVE","  98.32%","9","-","6","7"
"RENAL CARE GROUP LITHONIA","112759","-","2701 EVANS MILL ROAD","LITHONIA","GA","30058","6","KT/V COMPREHENSIVE","  98.25%","9","-","6","7"
"BUFORD DIALYSIS","112760","-","1550 BUFORD HWY STE 1E","BUFORD","GA","30518","6","KT/V COMPREHENSIVE","  97.81%","9","-","6","7"
"FMS LAWRENCEVILLE","112761","-","1115 HERRINGTON ROAD","LAWRENCEVILLE","GA","30044","6","KT/V COMPREHENSIVE","  94.80%","5","-","6","7"
